X,Y,Z,Name,Category,Price,Suburb,Pog Approved,,,,,,,,
151.2111141,-33.8793807,0,Paramount Coffee Project,Brunch,$$,Surry Hills,Y,,,?,Brunch,,,,
151.2245045,-33.8724065,0,Room Ten,Brunch,$$,Potts Point,Y,,,?,Brunch,,,,
151.209149,-33.8723764,0,Pablo & Rusty's Sydney CBD,Brunch,$$,CBD,N,,,?,Brunch,,,,
151.2061255,-33.8684916,0,Sammy Junior,Brunch,$,CBD,N,,,?,Brunch,,,,
151.2049645,-33.8679582,0,Cross Eatery.,Brunch,$,CBD,N,,,?,Brunch,,,,
151.2705692,-33.8886697,0,Makaveli Bondi,Brunch,$,Bondi,Y,,,?,Brunch,,,,
151.1398804,-33.742452,0,Brasserie L'EntrecÙte,French,$$$,Pymble,N,,,?,French,,,,
151.1218426,-33.595391,0,Berowra Waters Inn,Australian,$$$$$$,Berowra,N,,,?,Australian,,,,
151.2022931,-33.8785708,0,Lilong by Taste of Shanghai (Darling Square),Cantonese,$$,Haymarket,Y,,,?,Cantonese,,,,
151.2088585,-33.8811779,0,The Famous Surry Hills,Brunch,$,Surry Hills,N,,,?,Brunch,,,,
151.2130016,-33.8891978,0,Malika Bakehouse Surry Hills,Bakery,$$,Surry Hills,N,,,?,Bakery,,,,
151.2437586,-33.8779438,0,Yo-Chi,Dessert,$,Double Bay,N,,,?,Dessert,,,,
151.2134628,-33.8868146,0,Yo-Chi,Dessert,$,Surry Hills,Y,,,?,Dessert,,,,
151.2013195,-33.8640659,0,Yo-Chi,Dessert,$,Barangaroo,Y,,,?,Dessert,,,,
151.275832,-33.889146,0,Yo-Chi,Dessert,$,Bondi,N,,,?,Dessert,,,,
151.2076265,-33.8744848,0,FREO TOWN HALL (BATHURST ST),Dessert,$,CBD,N,,,?,Dessert,,,,
151.2854243,-33.7943619,0,Pocket Pizza Manly,Italian,$$,Manly,N,,,?,Italian,,,,
151.113685,-33.9383077,0,My Mother's Cousin Bexley North,Italian,$$,Bexley North,N,,,?,Italian,,,,
151.2131472,-33.8981711,0,Johnny Gio's Pizza Waterloo,Italian,$$,Waterloo,N,,,?,Italian,,,,
151.2055481,-33.874724,0,Ice Kirin Bar,Dessert,$,CBD,N,,,?,Dessert,,,,
151.208522,-33.872627,0,Big Bite on Pitt,Sandwiches,$,CBD,N,,,?,Sandwiches,,,,
151.2078063,-33.8634574,0,North Sandwiches and Burger Bridge St,Sandwiches,$,Circular Quay,Y,,,?,Sandwiches,,,,
151.2083229,-33.8588704,0,North Sandwiches & Burger Bar,Sandwiches,$,The Rocks,N,,,?,Sandwiches,,,,
151.0884262,-33.8635197,0,Mister Gee North Strathfield,Burgers,$,North Strathfield,N,,,?,Burgers,,,,
151.175561,-33.8984936,0,Azuki Bakery,Bakery,$,Newtown,N,,,?,Bakery,,,,
151.2011763,-33.8782279,0,Matcha-Ya,Dessert,$,Haymarket,Y,,,?,Dessert,,,,
151.1123302,-34.0067481,0,Paul's Famous Hamburgers,Burgers,$,Sylvania,N,,,?,Burgers,,,,
